2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=   2520 t=  3.391021 dt=1.311929e-03 pmax=61.1908 shock_x=22.0840
step=   2540 t=  3.417239 dt=1.310006e-03 pmax=60.1032 shock_x=22.2458
step=   2560 t=  3.443421 dt=1.308338e-03 pmax=58.2385 shock_x=22.4093
step=   2580 t=  3.469573 dt=1.306929e-03 pmax=58.1155 shock_x=22.5758
step=   2600 t=  3.495699 dt=1.305792e-03 pmax=58.5923 shock_x=22.7393
step=   2620 t=  3.520884 dt=1.304976e-03 pmax=58.5227 shock_x=22.9005
step=   2640 t=  3.546977 dt=1.304408e-03 pmax=57.6607 shock_x=23.0615
step=   2660 t=  3.573061 dt=1.304065e-03 pmax=56.0912 shock_x=23.2235
step=   2680 t=  3.599140 dt=1.303904e-03 pmax=55.9209 shock_x=23.3873
step=   2700 t=  3.625218 dt=1.303941e-03 pmax=56.1732 shock_x=23.5510
step=   2720 t=  3.651299 dt=1.304142e-03 pmax=56.0999 shock_x=23.7170
step=   2740 t=  3.677385 dt=1.304450e-03 pmax=55.4689 shock_x=23.8810
step=   2760 t=  3.703478 dt=1.304864e-03 pmax=54.1670 shock_x=24.0437
step=   2780 t=  3.729581 dt=1.305407e-03 pmax=53.7878 shock_x=24.2075
step=   2800 t=  3.755224 dt=1.306018e-03 pmax=53.9774 shock_x=24.3678
step=   2820 t=  3.781351 dt=1.306662e-03 pmax=53.9610 shock_x=24.5323
step=   2840 t=  3.807491 dt=1.307283e-03 pmax=53.7562 shock_x=24.6975
step=   2860 t=  3.833643 dt=1.307898e-03 pmax=53.7458 shock_x=24.8612
step=   2880 t=  3.859807 dt=1.308481e-03 pmax=53.7354 shock_x=25.0250
step=   2900 t=  3.885983 dt=1.309013e-03 pmax=53.7250 shock_x=25.1903
step=   2920 t=  3.912168 dt=1.309456e-03 pmax=53.7144 shock_x=25.3538
step=   2940 t=  3.938361 dt=1.309802e-03 pmax=53.7043 shock_x=25.5210
step=   2960 t=  3.964558 dt=1.309534e-03 pmax=53.6946 shock_x=25.6825
step=   2980 t=  3.990726 dt=1.307449e-03 pmax=53.6848 shock_x=25.8500
step=   3000 t=  4.015675 dt=1.305680e-03 pmax=53.6754 shock_x=26.0032
step=   3020 t=  4.041772 dt=1.304070e-03 pmax=53.6658 shock_x=26.1693
step=   3040 t=  4.067842 dt=1.302942e-03 pmax=53.6562 shock_x=26.3353
step=   3060 t=  4.093889 dt=1.301503e-03 pmax=53.6466 shock_x=26.4958
step=   3080 t=  4.119904 dt=1.300033e-03 pmax=53.6370 shock_x=26.6618
step=   3100 t=  4.145891 dt=1.298824e-03 pmax=53.6279 shock_x=26.8210
step=   3120 t=  4.171858 dt=1.298138e-03 pmax=53.6190 shock_x=26.9903
step=   3140 t=  4.197813 dt=1.297564e-03 pmax=53.6102 shock_x=27.1493
step=   3160 t=  4.223749 dt=1.296279e-03 pmax=53.6015 shock_x=27.3125
step=   3180 t=  4.249662 dt=1.295221e-03 pmax=53.5928 shock_x=27.4760
step=   3200 t=  4.274603 dt=1.294635e-03 pmax=53.5845 shock_x=27.6315
step=   3220 t=  4.300493 dt=1.294368e-03 pmax=53.5760 shock_x=27.7965
step=   3240 t=  4.326376 dt=1.293582e-03 pmax=53.5675 shock_x=27.9530
step=   3260 t=  4.352239 dt=1.292680e-03 pmax=53.5590 shock_x=28.1230
step=   3280 t=  4.378089 dt=1.292474e-03 pmax=53.5504 shock_x=28.2813
step=   3300 t=  4.403936 dt=1.292320e-03 pmax=53.5419 shock_x=28.4525
step=   3320 t=  4.429778 dt=1.291859e-03 pmax=53.5331 shock_x=28.6133
step=   3340 t=  4.455604 dt=1.290961e-03 pmax=53.5234 shock_x=28.7805
step=   3360 t=  4.481419 dt=1.290571e-03 pmax=53.5121 shock_x=28.9458
step=   3380 t=  4.506453 dt=1.290518e-03 pmax=53.4830 shock_x=29.1033
step=   3400 t=  4.532263 dt=1.290191e-03 pmax=53.3642 shock_x=29.2718
step=   3420 t=  4.558056 dt=1.289381e-03 pmax=53.1528 shock_x=29.4353
step=   3440 t=  4.583845 dt=1.289245e-03 pmax=52.8706 shock_x=29.6032
step=   3460 t=  4.609628 dt=1.288906e-03 pmax=52.5424 shock_x=29.7645
step=   3480 t=  4.635371 dt=1.284860e-03 pmax=52.1912 shock_x=29.9320
step=   3500 t=  4.661012 dt=1.279489e-03 pmax=51.8426 shock_x=30.0987
step=   3520 t=  4.686551 dt=1.274725e-03 pmax=51.5122 shock_x=30.2610
